Simulation 108/1000 completed for Minimax. Moves: 482, Time: 1.01 s, Score: 7104
Simulation 109/1000 completed for Minimax. Moves: 485, Time: 1.03 s, Score: 7088
Simulation 110/1000 completed for Minimax. Moves: 248, Time: 0.64 s, Score: 3048
Simulation 111/1000 completed for Minimax. Moves: 660, Time: 1.37 s, Score: 11356
Simulation 112/1000 completed for Minimax. Moves: 484, Time: 1.01 s, Score: 7084
Simulation 113/1000 completed for Minimax. Moves: 605, Time: 1.25 s, Score: 10436
Simulation 114/1000 completed for Minimax. Moves: 159, Time: 0.38 s, Score: 1520
Simulation 115/1000 completed for Minimax. Moves: 489, Time: 0.94 s, Score: 7212
Simulation 116/1000 completed for Minimax. Moves: 245, Time: 0.69 s, Score: 3036
Simulation 117/1000 completed for Minimax. Moves: 502, Time: 1.05 s, Score: 7248
Simulation 118/1000 completed for Minimax. Moves: 243, Time: 0.60 s, Score: 2924
Simulation 119/1000 completed for Minimax. Moves: 377, Time: 0.96 s, Score: 5400
Simulation 120/1000 completed for Minimax. Moves: 261, Time: 0.55 s, Score: 3140
Simulation 121/1000 completed for Minimax. Moves: 255, Time: 0.62 s, Score: 3100
Simulation 122/1000 completed for Minimax. Moves: 434, Time: 0.92 s, Score: 6428
Simulation 123/1000 completed for Minimax. Moves: 455, Time: 0.89 s, Score: 6832
Simulation 124/1000 completed for Minimax. Moves: 176, Time: 0.45 s, Score: 1724
Simulation 125/1000 completed for Minimax. Moves: 417, Time: 0.96 s, Score: 6252
Simulation 126/1000 completed for Minimax. Moves: 450, Time: 0.96 s, Score: 6548
Simulation 127/1000 completed for Minimax. Moves: 424, Time: 0.86 s, Score: 6320
Simulation 128/1000 completed for Minimax. Moves: 384, Time: 0.74 s, Score: 5472
Simulation 129/1000 completed for Minimax. Moves: 175, Time: 0.42 s, Score: 1740
Simulation 130/1000 completed for Minimax. Moves: 411, Time: 0.83 s, Score: 5712
Simulation 131/1000 completed for Minimax. Moves: 497, Time: 1.07 s, Score: 7188
Simulation 132/1000 completed for Minimax. Moves: 511, Time: 1.09 s, Score: 7372
Simulation 133/1000 completed for Minimax. Moves: 228, Time: 0.51 s, Score: 2596
Simulation 134/1000 completed for Minimax. Moves: 233, Time: 0.54 s, Score: 2740
Simulation 135/1000 completed for Minimax. Moves: 207, Time: 0.46 s, Score: 2440
Simulation 136/1000 completed for Minimax. Moves: 251, Time: 0.57 s, Score: 3080
Simulation 137/1000 completed for Minimax. Moves: 625, Time: 1.37 s, Score: 11000
Simulation 138/1000 completed for Minimax. Moves: 382, Time: 0.91 s, Score: 5464
Simulation 139/1000 completed for Minimax. Moves: 405, Time: 0.91 s, Score: 6116
Simulation 140/1000 completed for Minimax. Moves: 354, Time: 0.81 s, Score: 5248
Simulation 141/1000 completed for Minimax. Moves: 389, Time: 0.85 s, Score: 5520
Simulation 142/1000 completed for Minimax. Moves: 500, Time: 1.03 s, Score: 7328
Simulation 143/1000 completed for Minimax. Moves: 260, Time: 0.68 s, Score: 3164
Simulation 144/1000 completed for Minimax. Moves: 362, Time: 0.87 s, Score: 5192
Simulation 145/1000 completed for Minimax. Moves: 454, Time: 0.95 s, Score: 6568
Simulation 146/1000 completed for Minimax. Moves: 394, Time: 0.84 s, Score: 5512
Simulation 147/1000 completed for Minimax. Moves: 446, Time: 1.01 s, Score: 6476
Simulation 148/1000 completed for Minimax. Moves: 482, Time: 1.00 s, Score: 7088
Simulation 149/1000 completed for Minimax. Moves: 435, Time: 0.97 s, Score: 6412
Simulation 150/1000 completed for Minimax. Moves: 464, Time: 0.98 s, Score: 6832
Simulation 151/1000 completed for Minimax. Moves: 263, Time: 0.66 s, Score: 3180
Simulation 152/1000 completed for Minimax. Moves: 295, Time: 0.62 s, Score: 3504
Simulation 153/1000 completed for Minimax. Moves: 221, Time: 0.54 s, Score: 2744
Simulation 154/1000 completed for Minimax. Moves: 813, Time: 1.52 s, Score: 14208
Simulation 155/1000 completed for Minimax. Moves: 492, Time: 1.06 s, Score: 7104
Simulation 156/1000 completed for Minimax. Moves: 437, Time: 0.90 s, Score: 6420
Simulation 157/1000 completed for Minimax. Moves: 322, Time: 0.80 s, Score: 4672
Simulation 158/1000 completed for Minimax. Moves: 513, Time: 1.00 s, Score: 7400
Simulation 159/1000 completed for Minimax. Moves: 271, Time: 0.69 s, Score: 3184
Simulation 160/1000 completed for Minimax. Moves: 256, Time: 0.53 s, Score: 3164
Simulation 161/1000 completed for Minimax. Moves: 395, Time: 0.82 s, Score: 5612
Simulation 162/1000 completed for Minimax. Moves: 370, Time: 0.80 s, Score: 5344
Simulation 163/1000 completed for Minimax. Moves: 448, Time: 0.96 s, Score: 6588
Simulation 164/1000 completed for Minimax. Moves: 378, Time: 0.90 s, Score: 5428
Simulation 165/1000 completed for Minimax. Moves: 515, Time: 1.02 s, Score: 7312
Simulation 166/1000 completed for Minimax. Moves: 261, Time: 0.68 s, Score: 3184
Simulation 167/1000 completed for Minimax. Moves: 385, Time: 0.74 s, Score: 5524
Simulation 168/1000 completed for Minimax. Moves: 377, Time: 0.82 s, Score: 5360
Simulation 169/1000 completed for Minimax. Moves: 671, Time: 1.31 s, Score: 11484
Simulation 170/1000 completed for Minimax. Moves: 435, Time: 0.99 s, Score: 6616
Simulation 171/1000 completed for Minimax. Moves: 460, Time: 0.99 s, Score: 6796
Simulation 172/1000 completed for Minimax. Moves: 257, Time: 0.61 s, Score: 3104
Simulation 173/1000 completed for Minimax. Moves: 148, Time: 0.39 s, Score: 1432
Simulation 174/1000 completed for Minimax. Moves: 625, Time: 1.38 s, Score: 10520
Simulation 175/1000 completed for Minimax. Moves: 275, Time: 0.68 s, Score: 3244
Simulation 176/1000 completed for Minimax. Moves: 360, Time: 0.87 s, Score: 5244
Simulation 177/1000 completed for Minimax. Moves: 271, Time: 0.65 s, Score: 3300
Simulation 178/1000 completed for Minimax. Moves: 425, Time: 0.89 s, Score: 6212
Simulation 179/1000 completed for Minimax. Moves: 144, Time: 0.38 s, Score: 1372
Simulation 180/1000 completed for Minimax. Moves: 398, Time: 0.79 s, Score: 6012
Simulation 181/1000 completed for Minimax. Moves: 355, Time: 0.88 s, Score: 5200
Simulation 182/1000 completed for Minimax. Moves: 398, Time: 0.86 s, Score: 5852
Simulation 183/1000 completed for Minimax. Moves: 256, Time: 0.56 s, Score: 3148
Simulation 184/1000 completed for Minimax. Moves: 407, Time: 0.90 s, Score: 5848
Simulation 185/1000 completed for Minimax. Moves: 259, Time: 0.61 s, Score: 3160
Simulation 186/1000 completed for Minimax. Moves: 257, Time: 0.61 s, Score: 3152
Simulation 187/1000 completed for Minimax. Moves: 244, Time: 0.61 s, Score: 3036
Simulation 188/1000 completed for Minimax. Moves: 453, Time: 0.94 s, Score: 6624
Simulation 189/1000 completed for Minimax. Moves: 132, Time: 0.36 s, Score: 1300
Simulation 190/1000 completed for Minimax. Moves: 448, Time: 0.85 s, Score: 6608
Simulation 191/1000 completed for Minimax. Moves: 504, Time: 1.15 s, Score: 7264
Simulation 192/1000 completed for Minimax. Moves: 257, Time: 0.63 s, Score: 3152
Simulation 193/1000 completed for Minimax. Moves: 474, Time: 1.01 s, Score: 7032
Simulation 194/1000 completed for Minimax. Moves: 284, Time: 0.69 s, Score: 3384
Simulation 195/1000 completed for Minimax. Moves: 483, Time: 0.99 s, Score: 7068
Simulation 196/1000 completed for Minimax. Moves: 470, Time: 1.12 s, Score: 6948
Simulation 197/1000 completed for Minimax. Moves: 394, Time: 0.85 s, Score: 5620
Simulation 198/1000 completed for Minimax. Moves: 214, Time: 0.53 s, Score: 2468
Simulation 199/1000 completed for Minimax. Moves: 238, Time: 0.54 s, Score: 2872
Simulation 200/1000 completed for Minimax. Moves: 163, Time: 0.40 s, Score: 1620
Simulation 201/1000 completed for Minimax. Moves: 254, Time: 0.62 s, Score: 3076
Simulation 202/1000 completed for Minimax. Moves: 323, Time: 0.76 s, Score: 4696
Simulation 203/1000 completed for Minimax. Moves: 389, Time: 0.84 s, Score: 5528
Simulation 204/1000 completed for Minimax. Moves: 214, Time: 0.55 s, Score: 2576
Simulation 205/1000 completed for Minimax. Moves: 614, Time: 1.31 s, Score: 10488
Simulation 206/1000 completed for Minimax. Moves: 310, Time: 0.68 s, Score: 3628
Simulation 207/1000 completed for Minimax. Moves: 378, Time: 0.90 s, Score: 5428
Simulation 208/1000 completed for Minimax. Moves: 273, Time: 0.62 s, Score: 3280
Simulation 209/1000 completed for Minimax. Moves: 382, Time: 0.88 s, Score: 5464
Simulation 210/1000 completed for Minimax. Moves: 384, Time: 0.95 s, Score: 5448
Simulation 211/1000 completed for Minimax. Moves: 285, Time: 0.56 s, Score: 3448
Simulation 212/1000 completed for Minimax. Moves: 467, Time: 0.96 s, Score: 6892
Simulation 213/1000 completed for Minimax. Moves: 254, Time: 0.55 s, Score: 3120
Simulation 214/1000 completed for Minimax. Moves: 404, Time: 0.89 s, Score: 5744
Simulation 215/1000 completed for Minimax. Moves: 490, Time: 1.07 s, Score: 7144
Simulation 216/1000 completed for Minimax. Moves: 724, Time: 1.34 s, Score: 12092
Simulation 217/1000 completed for Minimax. Moves: 377, Time: 0.86 s, Score: 5428
Simulation 218/1000 completed for Minimax. Moves: 489, Time: 1.01 s, Score: 7152
Simulation 219/1000 completed for Minimax. Moves: 434, Time: 0.85 s, Score: 6376
Simulation 220/1000 completed for Minimax. Moves: 249, Time: 0.64 s, Score: 3072
Simulation 221/1000 completed for Minimax. Moves: 222, Time: 0.54 s, Score: 2736
Simulation 222/1000 completed for Minimax. Moves: 451, Time: 0.88 s, Score: 6632
Simulation 223/1000 completed for Minimax. Moves: 491, Time: 1.07 s, Score: 7116
Simulation 224/1000 completed for Minimax. Moves: 379, Time: 0.85 s, Score: 5432
Simulation 225/1000 completed for Minimax. Moves: 151, Time: 0.39 s, Score: 1448
Simulation 226/1000 completed for Minimax. Moves: 408, Time: 0.80 s, Score: 5728
Simulation 227/1000 completed for Minimax. Moves: 256, Time: 0.68 s, Score: 3100
Simulation 228/1000 completed for Minimax. Moves: 169, Time: 0.45 s, Score: 1688
Simulation 229/1000 completed for Minimax. Moves: 325, Time: 0.65 s, Score: 4724
