Type	Score	Reason for death	Moves	Snake Length	Turns
 A* 	43	 No path found	768	44	114
 A* 	41	 No path found	638	42	119
 A* 	35	 No path found	514	36	77
 A* 	62	 No path found	906	63	168
 A* 	92	 No path found	1635	93	288
 A* 	72	 No path found	1436	73	206
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	76	 No path found	1526	77	226
 A* 	84	 No path found	1597	85	238
 A* 	104	 No path found	2142	105	350
 A* 	45	 No path found	771	46	112
 A* 	56	 No path found	934	57	140
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	67	 No path found	1198	68	182
 A* 	82	 No path found	1562	83	275
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	78	 No path found	1513	79	215
 A* 	0	 Hit the wall	12	1	13
 A* 	98	 No path found	2003	99	311
 A* 	53	 No path found	919	54	132
 A* 	43	 No path found	780	44	104
 A* 	0	 Hit the wall	12	1	13
 A* 	44	 No path found	779	45	103
 A* 	0	 Hit the wall	12	1	13
 A* 	57	 No path found	1017	58	158
 A* 	27	 No path found	389	28	56
 A* 	82	 No path found	1551	83	258
 A* 	69	 No path found	1132	70	184
 A* 	90	 No path found	1597	91	248
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	55	 No path found	905	56	145
 A* 	41	 No path found	704	42	104
 A* 	82	 No path found	1401	83	221
 A* 	0	 Hit the wall	12	1	13
 A* 	78	 No path found	1635	79	227
 A* 	79	 No path found	1400	80	222
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	52	 No path found	728	53	146
 A* 	49	 No path found	953	50	121
 A* 	76	 No path found	1355	77	230
 A* 	0	 Hit the wall	12	1	13
 A* 	74	 No path found	1368	75	196
 A* 	58	 No path found	996	59	152
 A* 	47	 No path found	813	48	132
 A* 	49	 No path found	809	50	132
 A* 	64	 No path found	1211	65	178
 A* 	0	 Hit the wall	12	1	13
 A* 	89	 No path found	1610	90	279
 A* 	66	 No path found	1218	67	190
 A* 	100	 No path found	2180	101	309
 A* 	102	 No path found	1890	103	300
 A* 	78	 No path found	1259	79	217
 A* 	44	 No path found	812	45	125
 A* 	0	 Hit the wall	12	1	13
 A* 	81	 No path found	1584	82	235
 A* 	30	 No path found	554	31	82
 A* 	58	 No path found	1033	59	162
 A* 	84	 No path found	1583	85	234
 A* 	43	 No path found	773	44	102
 A* 	86	 No path found	1524	87	250
 A* 	61	 No path found	1119	62	159
 A* 	110	 No path found	2216	111	338
 A* 	95	 No path found	1654	96	300
 A* 	42	 No path found	732	43	97
 A* 	74	 No path found	1303	75	227
 A* 	77	 No path found	1469	78	215
 A* 	0	 Hit the wall	12	1	13
 A* 	59	 No path found	1079	60	172
 A* 	70	 No path found	1154	71	169
 A* 	64	 No path found	1025	65	166
 A* 	73	 No path found	1386	74	215
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	78	 No path found	1459	79	226
 A* 	0	 Hit the wall	12	1	13
 A* 	54	 No path found	907	55	135
 A* 	69	 No path found	1182	70	201
 A* 	61	 No path found	1139	62	172
 A* 	0	 Hit the wall	12	1	13
 A* 	65	 No path found	1224	66	190
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	69	 No path found	1251	70	199
 A* 	72	 No path found	1321	73	204
 A* 	55	 No path found	1026	56	153
 A* 	0	 Hit the wall	12	1	13
 A* 	70	 No path found	1200	71	196
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	75	 No path found	1291	76	224
 A* 	0	 Hit the wall	12	1	13
 A* 	59	 No path found	1025	60	160
 A* 	82	 No path found	1479	83	246
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	65	 No path found	1271	66	168
 A* 	0	 Hit the wall	12	1	13
 A* 	49	 No path found	941	50	136
 A* 	0	 Hit the wall	12	1	13
 A* 	55	 No path found	929	56	138
 A* 	60	 No path found	1136	61	165
 A* 	83	 No path found	1447	84	225
 A* 	66	 No path found	1134	67	181
 A* 	61	 No path found	1101	62	176
 A* 	60	 No path found	1087	61	154
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	58	 No path found	928	59	154
 A* 	74	 No path found	1276	75	183
 A* 	0	 Hit the wall	12	1	13
 A* 	59	 No path found	956	60	153
 A* 	71	 No path found	1133	72	196
 A* 	65	 No path found	1092	66	163
 A* 	49	 No path found	803	50	127
 A* 	56	 No path found	1030	57	141
 A* 	43	 No path found	852	44	107
 A* 	55	 No path found	1003	56	157
 A* 	87	 No path found	1627	88	261
 A* 	54	 No path found	1004	55	160
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	53	 No path found	935	54	135
 A* 	57	 No path found	941	58	159
 A* 	57	 No path found	1048	58	149
 A* 	80	 No path found	1585	81	227
 A* 	72	 No path found	1236	73	199
 A* 	62	 No path found	944	63	161
 A* 	63	 No path found	1084	64	170
 A* 	52	 No path found	934	53	158
 A* 	79	 No path found	1499	80	234
 A* 	0	 Hit the wall	12	1	13
 A* 	104	 No path found	1916	105	314
 A* 	68	 No path found	1179	69	188
 A* 	0	 Hit the wall	12	1	13
 A* 	72	 No path found	1286	73	199
 A* 	0	 Hit the wall	12	1	13
 A* 	63	 No path found	1041	64	153
 A* 	55	 No path found	930	56	146
 A* 	84	 No path found	1484	85	222
 A* 	76	 No path found	1326	77	205
 A* 	83	 No path found	1486	84	215
 A* 	64	 No path found	1093	65	171
 A* 	68	 No path found	1133	69	183
 A* 	80	 No path found	1661	81	227
 A* 	35	 No path found	594	36	92
 A* 	81	 No path found	1577	82	220
 A* 	57	 No path found	1045	58	166
 A* 	0	 Hit the wall	12	1	13
 A* 	84	 No path found	1670	85	256
 A* 	87	 No path found	1564	88	243
 A* 	46	 No path found	718	47	100
 A* 	68	 No path found	1280	69	186
 A* 	95	 No path found	1755	96	281
 A* 	0	 Hit the wall	12	1	13
 A* 	63	 No path found	1160	64	175
 A* 	0	 Hit the wall	12	1	13
 A* 	74	 No path found	1285	75	209
 A* 	69	 No path found	1236	70	189
 A* 	0	 Hit the wall	12	1	13
 A* 	39	 No path found	671	40	98
 A* 	46	 No path found	776	47	120
 A* 	0	 Hit the wall	12	1	13
 A* 	88	 No path found	1654	89	264
 A* 	55	 No path found	1001	56	146
 A* 	0	 Hit the wall	12	1	13
 A* 	72	 No path found	1248	73	199
 A* 	0	 Hit the wall	12	1	13
 A* 	54	 No path found	1055	55	154
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	48	 No path found	861	49	127
 A* 	87	 No path found	1393	88	241
 A* 	48	 No path found	814	49	123
 A* 	61	 No path found	1086	62	161
 A* 	58	 No path found	1023	59	159
 A* 	0	 Hit the wall	12	1	13
 A* 	77	 No path found	1480	78	252
 A* 	64	 No path found	1076	65	198
 A* 	113	 No path found	2071	114	395
 A* 	76	 No path found	1299	77	219
 A* 	66	 No path found	1222	67	179
 A* 	0	 Hit the wall	12	1	13
 A* 	0	 Hit the wall	12	1	13
 A* 	62	 No path found	1155	63	198
 A* 	59	 No path found	1029	60	156
 A* 	89	 No path found	1613	90	287
 A* 	70	 No path found	1145	71	193
 A* 	0	 Hit the wall	12	1	13
 A* 	60	 No path found	976	61	158
 A* 	40	 No path found	670	41	107
 A* 	67	 No path found	1384	68	196
 A* 	61	 No path found	999	62	158
 A* 	45	 No path found	722	46	104
 A* 	0	 Hit the wall	12	1	13
 A* 	90	 No path found	1472	91	290
 A* 	88	 No path found	1645	89	256
 A* 	70	 No path found	1260	71	187
 A* 	60	 No path found	1012	61	174
 A* 	64	 No path found	1205	65	179
 A* 	59	 No path found	1032	60	169
